Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
19.0,321.0,19.0,11/29/2024,MIN,,LAC,"W, 93-92",1,36:01:00,7.0,21.0,0.333,4.0,9.0,0.444,3.0,12.0,0.25,0.429,3.0,5.0,0.6,2.0,2.0,4.0,3.0,2.0,0.0,4.0,0.0,21.0,10.4,-5.0
20.0,322.0,20.0,12/2/2024,MIN,,LAL,"W, 109-80",1,26:57:00,3.0,13.0,0.231,1.0,5.0,0.2,2.0,8.0,0.25,0.269,1.0,2.0,0.5,0.0,7.0,7.0,3.0,2.0,0.0,3.0,1.0,8.0,2.5,1.0
21.0,323.0,21.0,12/4/2024,MIN,@,LAC,"W, 108-80",1,26:12:00,5.0,14.0,0.357,4.0,9.0,0.444,1.0,5.0,0.2,0.5,2.0,2.0,1.0,1.0,5.0,6.0,4.0,4.0,0.0,2.0,3.0,16.0,14.0,27.0
22.0,324.0,22.0,12/6/2024,MIN,@,GSW,"W, 107-90",1,34:57:00,11.0,18.0,0.611,4.0,10.0,0.4,7.0,8.0,0.875,0.722,4.0,4.0,1.0,0.0,4.0,4.0,9.0,1.0,2.0,4.0,1.0,30.0,27.3,23.0
23.0,325.0,23.0,12/8/2024,MIN,@,GSW,"L, 106-114",1,36:34:00,10.0,19.0,0.526,5.0,9.0,0.556,5.0,10.0,0.5,0.658,2.0,2.0,1.0,0.0,5.0,5.0,6.0,1.0,0.0,6.0,3.0,27.0,17.2,-3.0
24.0,326.0,24.0,12/13/2024,MIN,,LAL,"W, 97-87",1,32:37:00,9.0,20.0,0.45,2.0,7.0,0.286,7.0,13.0,0.538,0.5,3.0,5.0,0.6,2.0,4.0,6.0,1.0,1.0,1.0,5.0,1.0,23.0,11.4,25.0
25.0,327.0,25.0,12/15/2024,MIN,@,SAS,"W, 106-92",1,28:28:00,10.0,21.0,0.476,3.0,7.0,0.429,7.0,14.0,0.5,0.548,3.0,3.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,3.0,26.0,16.0,9.0
26.0,328.0,26.0,12/19/2024,MIN,,NYK,"L, 107-133",1,33:36:00,7.0,16.0,0.438,3.0,7.0,0.429,4.0,9.0,0.444,0.531,0.0,0.0,,0.0,5.0,5.0,7.0,3.0,1.0,2.0,0.0,17.0,16.7,-15.0
27.0,329.0,27.0,12/21/2024,MIN,,GSW,"L, 103-113",1,39:05:00,6.0,20.0,0.3,4.0,11.0,0.364,2.0,9.0,0.222,0.4,3.0,4.0,0.75,1.0,6.0,7.0,5.0,0.0,0.0,1.0,4.0,19.0,10.4,-1.0
28.0,330.0,28.0,12/23/2024,MIN,@,ATL,"L, 104-117",1,32:17:00,7.0,20.0,0.35,1.0,7.0,0.143,6.0,13.0,0.462,0.375,1.0,1.0,1.0,2.0,4.0,6.0,4.0,2.0,0.0,5.0,1.0,16.0,6.8,-23.0
29.0,331.0,29.0,12/25/2024,MIN,@,DAL,"W, 105-99",1,39:13:00,11.0,24.0,0.458,4.0,7.0,0.571,7.0,17.0,0.412,0.542,0.0,0.0,,1.0,7.0,8.0,5.0,2.0,1.0,4.0,0.0,26.0,18.6,8.0
30.0,332.0,30.0,12/27/2024,MIN,@,HOU,"W, 113-112",1,35:18:00,9.0,17.0,0.529,4.0,8.0,0.5,5.0,9.0,0.556,0.647,2.0,3.0,0.667,0.0,5.0,5.0,3.0,0.0,1.0,3.0,3.0,24.0,15.4,-1.0
31.0,333.0,31.0,12/29/2024,MIN,,SAS,"W, 112-110",1,38:12:00,6.0,20.0,0.3,1.0,9.0,0.111,5.0,11.0,0.455,0.325,1.0,1.0,1.0,1.0,7.0,8.0,4.0,0.0,1.0,2.0,1.0,14.0,6.3,2.0
32.0,334.0,32.0,12/31/2024,MIN,@,OKC,"L, 105-113",1,38:49:00,6.0,12.0,0.5,4.0,7.0,0.571,2.0,5.0,0.4,0.667,4.0,4.0,1.0,0.0,7.0,7.0,2.0,0.0,1.0,3.0,3.0,20.0,14.0,-3.0
33.0,335.0,33.0,1/2/2025,MIN,,BOS,"L, 115-118",1,36:13:00,5.0,16.0,0.313,2.0,9.0,0.222,3.0,7.0,0.429,0.375,3.0,4.0,0.75,0.0,4.0,4.0,6.0,0.0,0.0,2.0,0.0,15.0,8.8,-10.0
34.0,336.0,34.0,1/4/2025,MIN,@,DET,"L, 105-119",1,44:27:00,16.0,31.0,0.516,10.0,15.0,0.667,6.0,16.0,0.375,0.677,11.0,12.0,0.917,1.0,5.0,6.0,2.0,0.0,0.0,6.0,4.0,53.0,33.3,-3.0
35.0,337.0,35.0,1/6/2025,MIN,,LAC,"W, 108-106",1,37:10:00,14.0,29.0,0.483,6.0,13.0,0.462,8.0,16.0,0.5,0.586,3.0,4.0,0.75,1.0,6.0,7.0,8.0,1.0,0.0,2.0,2.0,37.0,28.2,4.0
36.0,338.0,36.0,1/7/2025,MIN,@,NOP,"W, 104-97",1,38:23:00,10.0,21.0,0.476,7.0,11.0,0.636,3.0,10.0,0.3,0.643,5.0,6.0,0.833,1.0,8.0,9.0,3.0,2.0,0.0,4.0,3.0,32.0,22.9,3.0
37.0,339.0,37.0,1/9/2025,MIN,@,ORL,"W, 104-89",1,36:22:00,5.0,19.0,0.263,4.0,11.0,0.364,1.0,8.0,0.125,0.368,7.0,9.0,0.778,1.0,2.0,3.0,7.0,2.0,0.0,2.0,2.0,21.0,14.3,20.0
